generation,fitness
1,0.838
2,0.844
3,0.804
4,0.844
5,0.759
6,0.816
7,0.844
8,0.844
9,0.804
10,0.844
11,0.844
12,0.844
13,0.844
14,0.844
15,0.844
16,0.825
17,0.844
18,0.825
19,0.844
20,0.844
